,Start Time,End Time,Trip Duration,Start Station,End Station,User Type
1495130,11/06/2017 9:10,11/06/2017 9:13,191.414,Cordell & Norfolk Ave,Bethesda Metro,Subscriber
950789,26/04/2017 7:16,26/04/2017 8:06,2989.274,15th & Crystal Dr,15th & Euclid St  NW,Subscriber
217136,7/02/2017 8:05,7/02/2017 8:20,939.619,Lamont & Mt Pleasant NW,21st & M St NW,Customer
808092,14/04/2017 1:08,14/04/2017 1:36,1659.025,14th & G St NW,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,Customer
413127,2/03/2017 11:43,2/03/2017 12:06,1386.76,20th & O St NW / Dupont South,Henry Bacon Dr & Lincoln Memorial Circle NW,Customer
1401950,4/06/2017 8:40,4/06/2017 8:45,284.416,1st & D St SE,4th & East Capitol St NE,Subscriber
800146,13/04/2017 7:02,13/04/2017 7:06,256.124,21st St N & N Pierce St,Lynn & 19th St North,Subscriber
1037152,3/05/2017 1:17,3/05/2017 1:42,1512.43,17th & K St NW,M St & Pennsylvania Ave NW,Subscriber
969223,27/04/2017 11:22,27/04/2017 11:29,415.392,26th & S Clark St,15th & Crystal Dr,Subscriber
1303396,27/05/2017 9:48,27/05/2017 9:52,224.676,14th & D St SE,Lincoln Park / 13th & East Capitol St NE ,Subscriber
1061995,5/05/2017 1:36,5/05/2017 2:57,4869.951,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
79366,17/01/2017 8:00,17/01/2017 8:06,394.156,4th & D St NW / Judiciary Square,14th & D St NW / Ronald Reagan Building,Subscriber
897889,20/04/2017 7:46,20/04/2017 7:59,750.982,Ballston Metro / N Stuart & 9th St N,Court House Metro / 15th & N Uhle St ,Subscriber
1645517,23/06/2017 7:38,23/06/2017 7:41,182.549,14th & Belmont St NW,10th & U St NW,Subscriber
1098151,9/05/2017 4:35,9/05/2017 4:41,367.26,Braddock Rd Metro,Monroe Ave & Leslie Ave,Subscriber
552729,22/03/2017 14:03,22/03/2017 14:11,497.192,3rd & Elm St NW,14th & V St NW,Subscriber
1118188,10/05/2017 8:42,10/05/2017 8:48,355.824,17th & K St NW / Farragut Square,20th St & Virginia Ave NW,Subscriber
71234,15/01/2017 14:22,15/01/2017 14:40,1066.788,3rd St & Pennsylvania Ave SE,4th St & Madison Dr NW,Customer
447822,7/03/2017 13:06,7/03/2017 13:09,211.092,Independence Ave & L'Enfant Plaza SW/DOE,Jefferson Dr & 14th St SW,Subscriber
58023,12/01/2017 20:36,12/01/2017 20:54,1077.395,New Jersey Ave & N St NW/Dunbar HS,M St & Pennsylvania Ave NW,Subscriber
20436,5/01/2017 16:43,5/01/2017 17:03,1230.636,14th & L St NW,4th & M St SW,Subscriber
847095,16/04/2017 6:36,16/04/2017 6:46,618.459,14th & Irving St NW,1st & Rhode Island Ave NW,Subscriber
881267,19/04/2017 5:28,19/04/2017 6:10,2515.554,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW,Customer
1167423,16/05/2017 2:59,16/05/2017 3:18,1178.869,3000 Connecticut Ave NW / National Zoo,Calvert St & Woodley Pl NW,Subscriber
1311562,28/05/2017 7:27,28/05/2017 7:55,1637.148,Wisconsin Ave & O St NW,Wisconsin Ave & O St NW,Customer
736229,9/04/2017 2:15,9/04/2017 2:18,166.825,1st & K St SE,3rd & Tingey St SE,Subscriber
5958,3/01/2017 7:48,3/01/2017 8:10,1325.887,Columbus Circle / Union Station,17th & G St NW,Subscriber
832892,15/04/2017 6:56,15/04/2017 7:54,3495.354,Henry Bacon Dr & Lincoln Memorial Circle NW,14th & V St NW,Customer
1005187,30/04/2017 6:13,30/04/2017 6:21,455.645,8th & O St NW,1st & Rhode Island Ave NW,Subscriber
476186,10/03/2017 7:26,10/03/2017 7:36,609.55,1st & Rhode Island Ave NW,5th & F St NW,Subscriber
260025,13/02/2017 8:03,13/02/2017 8:15,761.873,7th & R St NW / Shaw Library,17th & G St NW,Subscriber
627386,29/03/2017 17:09,29/03/2017 17:16,459.339,Convention Center / 7th & M St NW,17th St & Massachusetts Ave NW,Subscriber
1488279,11/06/2017 1:43,11/06/2017 1:49,317.597,14th & Upshur St NW,14th & Upshur St NW,Subscriber
228921,8/02/2017 10:22,8/02/2017 10:27,273.971,Eastern Market / 7th & North Carolina Ave SE,8th & Eye St SE / Barracks Row,Subscriber
823873,14/04/2017 12:53,14/04/2017 3:17,8649.963,4th St & Madison Dr NW,Lincoln Memorial,Customer
876652,18/04/2017 10:51,18/04/2017 10:55,246.792,New Hampshire Ave & T St NW,20th & O St NW / Dupont South,Subscriber
834908,15/04/2017 8:42,15/04/2017 9:02,1157.333,10th & E St NW,16th & K St NW,Customer
1680081,26/06/2017 1:56,26/06/2017 2:24,1697.981,4th & East Capitol St NE,4th St & Madison Dr NW,Subscriber
246587,10/02/2017 18:19,10/02/2017 18:26,387.777,Massachusetts Ave & Dupont Circle NW,18th St & Wyoming Ave NW,Subscriber
1040259,3/05/2017 5:23,3/05/2017 5:34,689.119,3rd St & Pennsylvania Ave SE,Oklahoma Ave & D St NE,Subscriber
1702063,27/06/2017 7:42,27/06/2017 7:55,804.505,15th & Euclid St  NW,16th & K St NW,Subscriber
96185,19/01/2017 17:18,19/01/2017 17:23,310.247,15th & P St NW,18th & M St NW,Subscriber
1345763,31/05/2017 7:05,31/05/2017 7:21,962.878,11th & Kenyon St NW,11th & Kenyon St NW,Subscriber
710625,6/04/2017 6:53,6/04/2017 7:06,789.993,Washington Blvd & Walter Reed Dr ,N Randolph St & Fairfax Dr,Subscriber
1242453,21/05/2017 12:04,21/05/2017 12:57,3161.868,4th St & Madison Dr NW,19th St & Constitution Ave NW,Customer
612030,28/03/2017 11:29,28/03/2017 11:49,1254.514,15th & P St NW,1st & M St NE,Subscriber
784242,12/04/2017 6:24,12/04/2017 6:34,592.169,1st & K St SE,Washington & Independence Ave SW/HHS,Customer
1561945,16/06/2017 10:38,16/06/2017 11:50,4343.493,14th & L St NW,Thomas Circle,Customer
1419490,6/06/2017 4:07,6/06/2017 4:19,773.155,10th St & L'Enfant Plaza SW,Eastern Market / 7th & North Carolina Ave SE,Subscriber
734129,9/04/2017 1:00,9/04/2017 1:07,470.124,New Hampshire Ave & T St NW,15th & P St NW,Subscriber
639538,30/03/2017 17:39,30/03/2017 18:18,2340.963,Kennedy Center,6th & K St NE,Subscriber
1698728,27/06/2017 5:58,27/06/2017 6:06,486.738,Eastern Market Metro / Pennsylvania Ave & 7th St SE,1st & N St  SE,Subscriber
1154331,15/05/2017 1:56,15/05/2017 2:08,767.787,14th & D St NW / Ronald Reagan Building,18th & M St NW,Subscriber
456273,8/03/2017 12:48,8/03/2017 12:53,295.828,14th & V St NW,Thomas Circle,Subscriber
1317062,28/05/2017 12:58,28/05/2017 1:16,1029.641,8th & F St NW,4th & C St SW,Customer
501815,15/03/2017 18:03,15/03/2017 18:10,437.96,20th & L St NW,15th & L St NW,Subscriber
338481,22/02/2017 9:01,22/02/2017 9:08,375.703,17th St & Massachusetts Ave NW,20th & L St NW,Subscriber
444294,7/03/2017 7:09,7/03/2017 7:14,317.306,15th & Euclid St  NW,Calvert St & Woodley Pl NW,Subscriber
1502882,12/06/2017 5:40,12/06/2017 5:49,561.358,Virginia Square Metro / N Monroe St & 9th St N,Pershing & N George Mason Dr,Subscriber
1639709,23/06/2017 2:06,23/06/2017 2:32,1531.708,21st & M St NW,4th & E St SW,Subscriber
7290,3/01/2017 17:02,3/01/2017 17:17,898.867,21st & I St NW,15th & Euclid St  NW,Subscriber
1533277,14/06/2017 8:27,14/06/2017 8:45,1075.478,16th & R St NW,8th & F St NW,Subscriber
1715727,28/06/2017 6:56,28/06/2017 7:34,2320.908,Jefferson Dr & 14th St SW,Lincoln Memorial,Customer
293380,17/02/2017 19:23,17/02/2017 19:29,345.585,North Capitol St & G Pl NE,5th & K St NW,Subscriber
298981,18/02/2017 14:27,18/02/2017 17:55,12448.013,Washington & Independence Ave SW/HHS,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
129769,25/01/2017 11:17,25/01/2017 11:41,1466.248,Jefferson Memorial,1st & D St SE,Subscriber
1021180,1/05/2017 8:57,1/05/2017 9:09,713.299,Columbus Circle / Union Station,L'Enfant Plaza / 7th & C St SW,Subscriber
949701,26/04/2017 6:37,26/04/2017 6:48,671.835,18th & M St NW,Convention Center / 7th & M St NW,Subscriber
343493,22/02/2017 18:17,22/02/2017 18:31,818.312,16th & K St NW,14th & R St NW,Subscriber
650552,1/04/2017 4:55,1/04/2017 4:58,171.887,Union Market/6th St & Neal Pl NE,M St & Delaware Ave NE,Subscriber
1517144,13/06/2017 6:54,13/06/2017 7:04,601.342,Adams Mill & Columbia Rd NW,New Hampshire Ave & 24th St NW,Subscriber
1696587,27/06/2017 4:50,27/06/2017 4:53,213.456,8th & Eye St SE / Barracks Row,1st & K St SE,Subscriber
1093636,8/05/2017 9:07,8/05/2017 9:15,479.892,18th & M St NW,31st & Water St NW,Customer
542424,21/03/2017 13:36,21/03/2017 14:02,1556.474,Washington & Independence Ave SW/HHS,6th St & Indiana Ave NW,Customer
841095,16/04/2017 1:11,16/04/2017 5:00,13727.431,Lynn & 19th St North,Washington Blvd & 10th St N,Customer
695190,5/04/2017 2:31,5/04/2017 4:26,6877.166,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
1043159,3/05/2017 6:57,3/05/2017 7:02,304.203,Adams Mill & Columbia Rd NW,18th & R St NW,Subscriber
324307,20/02/2017 16:32,20/02/2017 17:09,2246.025,US Dept of State / Virginia Ave & 21st St NW,20th & E St NW,Subscriber
1591241,19/06/2017 6:40,19/06/2017 6:46,344.726,5th St & Massachusetts Ave NW,Florida Ave & R St NW,Subscriber
44398,11/01/2017 9:06,11/01/2017 9:12,393.625,Madison & N Henry St,King St Metro South,Subscriber
14373,4/01/2017 17:22,4/01/2017 17:26,252.193,14th & Upshur St NW,9th & Upshur St NW,Subscriber
37222,10/01/2017 7:27,10/01/2017 7:43,937.6,14th & Belmont St NW,1st & M St NE,Subscriber
772544,11/04/2017 8:00,11/04/2017 8:13,754.299,Lincoln Park / 13th & East Capitol St NE ,Columbus Circle / Union Station,Subscriber
1391425,3/06/2017 10:55,3/06/2017 11:05,597.59,20th St & Florida Ave NW,Lamont & Mt Pleasant NW,Subscriber
344856,22/02/2017 20:15,22/02/2017 20:43,1679.464,Hamlin & 7th St NE,New Hampshire Ave & T St NW,Subscriber
734262,9/04/2017 1:05,9/04/2017 1:32,1646.363,16th & R St NW,New York Ave & 15th St NW,Subscriber
1202519,18/05/2017 9:14,18/05/2017 9:24,592.723,8th & F St NW,14th & D St NW / Ronald Reagan Building,Subscriber
1363878,1/06/2017 9:45,1/06/2017 9:54,514.263,Lynn & 19th St North,C & O Canal & Wisconsin Ave NW,Customer
721075,7/04/2017 11:45,7/04/2017 12:12,1602.346,Tenleytown / Wisconsin Ave & Albemarle St NW,Kennedy Center,Subscriber
1599237,20/06/2017 4:07,20/06/2017 4:17,616.081,19th & G St NW,Independence Ave & L'Enfant Plaza SW/DOE,Subscriber
584178,25/03/2017 15:29,25/03/2017 15:48,1118.587,19th St & Constitution Ave NW,15th & L St NW,Customer
1566886,17/06/2017 3:52,17/06/2017 4:19,1662.694,10th & U St NW,39th & Veazey St NW,Subscriber
1482800,10/06/2017 9:52,10/06/2017 9:57,304.599,Adams Mill & Columbia Rd NW,New Hampshire Ave & T St NW,Subscriber
693658,4/04/2017 12:16,4/04/2017 2:03,6457.969,19th St & Constitution Ave NW,4th St & Madison Dr NW,Customer
212664,6/02/2017 17:10,6/02/2017 17:21,673.327,17th & Rhode Island Ave NW,3rd & Elm St NW,Subscriber
1381630,3/06/2017 2:02,3/06/2017 5:18,11735.865,15th & P St NW,Court House Metro / 15th & N Uhle St ,Customer
620862,29/03/2017 7:55,29/03/2017 8:07,664.328,16th & R St NW,14th & D St NW / Ronald Reagan Building,Subscriber
1620723,21/06/2017 8:21,21/06/2017 8:58,2255.005,23rd & E St NW ,Henry Bacon Dr & Lincoln Memorial Circle NW,Subscriber
1324400,29/05/2017 7:25,29/05/2017 8:07,2494.286,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
901632,20/04/2017 12:28,20/04/2017 12:43,899.939,1st & Rhode Island Ave NW,10th & K St NW,Subscriber
992359,29/04/2017 7:47,29/04/2017 7:57,576.354,21st & I St NW,C & O Canal & Wisconsin Ave NW,Customer
1047298,3/05/2017 9:14,3/05/2017 9:31,1059.123,8th & F St NW,Columbia Rd & Georgia Ave NW,Subscriber
275438,15/02/2017 9:34,15/02/2017 9:43,585.309,Lincoln Park / 13th & East Capitol St NE ,Columbus Circle / Union Station,Subscriber
600949,27/03/2017 12:49,27/03/2017 13:48,3595.466,27th & Crystal Dr,23rd & Crystal Dr,Subscriber
210273,6/02/2017 11:14,6/02/2017 11:24,577.104,Georgia & New Hampshire Ave NW,7th & T St NW,Subscriber
997048,29/04/2017 11:37,29/04/2017 11:56,1139.366,17th & K St NW / Farragut Square,23rd & E St NW ,Customer
1535892,14/06/2017 10:45,14/06/2017 11:09,1426.574,Connecticut Ave & Newark St NW / Cleveland Park,19th St & Pennsylvania Ave NW,Subscriber
1504504,12/06/2017 6:36,12/06/2017 6:48,683.335,16th & Harvard St NW,New Hampshire Ave & 24th St NW,Subscriber
1157996,15/05/2017 5:39,15/05/2017 5:55,932.189,13th & D St NE,8th & D St NW,Subscriber
118208,23/01/2017 17:40,23/01/2017 17:50,590.071,8th & O St NW,1st & Rhode Island Ave NW,Subscriber
1592861,19/06/2017 7:50,19/06/2017 7:57,417.771,New Hampshire Ave & 24th St NW,17th & Corcoran St NW,Subscriber
64169,13/01/2017 16:54,13/01/2017 16:59,275.734,5th & K St NW,8th & O St NW,Subscriber
691073,4/04/2017 8:43,4/04/2017 8:55,695.923,12th & U St NW,1st & M St NE,Customer
80706,17/01/2017 11:58,17/01/2017 12:05,428.775,19th & L St NW,25th St & Pennsylvania Ave NW,Subscriber
1486107,10/06/2017 12:07,10/06/2017 12:31,1438.186,12th & Irving St NE,4th St & Madison Dr NW,Customer
18369,5/01/2017 9:00,5/01/2017 9:13,803.268,Lamont & Mt Pleasant NW,17th & Rhode Island Ave NW,Subscriber
64618,13/01/2017 17:23,13/01/2017 17:44,1268.732,7th & R St NW / Shaw Library,Georgia & New Hampshire Ave NW,Subscriber
1220615,20/05/2017 2:35,20/05/2017 2:42,452.636,14th & V St NW,17th & K St NW,Subscriber
610898,28/03/2017 8:18,28/03/2017 8:47,1741.862,Georgia & New Hampshire Ave NW,North Capitol St & G Pl NE,Subscriber
1203623,18/05/2017 10:35,18/05/2017 10:52,1011.248,14th & R St NW,3rd & H St NE,Subscriber
1097672,9/05/2017 4:03,9/05/2017 4:30,1618.935,21st & M St NW,17th St & Independence Ave SW,Customer
645615,31/03/2017 18:30,31/03/2017 18:43,792.05,Washington & Independence Ave SW/HHS,3rd & H St NW,Subscriber
690679,4/04/2017 8:31,4/04/2017 8:46,908.29,12th & Newton St NE,North Capitol St & G Pl NE,Subscriber
1310492,28/05/2017 6:09,28/05/2017 6:32,1365.381,8th & H St NW,Constitution Ave & 2nd St NW/DOL,Customer
1485405,10/06/2017 11:39,10/06/2017 11:49,588.116,New Hampshire Ave & T St NW,10th & U St NW,Subscriber
400039,28/02/2017 17:27,28/02/2017 17:48,1278.594,19th & G St NW,14th & Harvard St NW,Subscriber
268683,14/02/2017 13:10,14/02/2017 13:17,421.469,3rd & D St SE,Eastern Market Metro / Pennsylvania Ave & 7th St SE,Subscriber
26532,6/01/2017 17:00,6/01/2017 17:11,669.728,Massachusetts Ave & Dupont Circle NW,11th & M St NW,Subscriber
1211955,19/05/2017 7:25,19/05/2017 7:30,299.911,1st & O St NW,Convention Center / 7th & M St NW,Subscriber
49013,11/01/2017 19:24,11/01/2017 19:37,778.031,3rd & D St SE,1st & K St SE,Subscriber
1725596,29/06/2017 3:55,29/06/2017 4:00,260.764,New Jersey Ave & N St NW/Dunbar HS,Convention Center / 7th & M St NW,Subscriber
743783,9/04/2017 8:01,9/04/2017 8:08,395.135,1st & O St NW,1st & Rhode Island Ave NW,Customer
361015,24/02/2017 10:57,24/02/2017 11:06,578.028,7th & R St NW / Shaw Library,California St & Florida Ave NW,Subscriber
574331,24/03/2017 21:03,24/03/2017 21:13,629.754,14th & Harvard St NW,16th & R St NW,Customer
918119,22/04/2017 9:04,22/04/2017 9:06,123.019,15th & P St NW,16th & R St NW,Subscriber
518854,18/03/2017 14:28,18/03/2017 14:46,1057.083,Commerce St & Fayette St,Braddock Rd Metro,Subscriber
1343827,31/05/2017 5:24,31/05/2017 5:52,1638.89,8th & D St NW,Iwo Jima Memorial/N Meade & 14th St N,Subscriber
825471,15/04/2017 1:57,15/04/2017 2:03,344.296,Tenleytown / Wisconsin Ave & Albemarle St NW,39th & Veazey St NW,Subscriber
1247384,22/05/2017 5:49,22/05/2017 5:53,247.791,Columbus Circle / Union Station,6th & H St NE,Subscriber
533945,20/03/2017 16:11,20/03/2017 16:17,354.453,22nd & I St NW / Foggy Bottom,20th & O St NW / Dupont South,Subscriber
930758,23/04/2017 12:58,23/04/2017 1:59,3687.517,10th St & L'Enfant Plaza SW,10th St & L'Enfant Plaza SW,Customer
888156,19/04/2017 10:15,19/04/2017 10:35,1226.898,Barcroft Community Center,Pershing & N George Mason Dr,Customer
1026904,2/05/2017 5:14,2/05/2017 5:21,415.851,Takoma Metro,Maple & Ritchie Ave,Subscriber
1556947,16/06/2017 6:40,16/06/2017 6:47,394.469,Mount Vernon Ave & E Nelson Ave,Braddock Rd Metro,Subscriber
1088546,8/05/2017 5:48,8/05/2017 5:56,497.981,Ward Circle / American University,Wisconsin Ave & Newark St NW,Subscriber
1065798,5/05/2017 6:28,5/05/2017 7:08,2422.418,Potomac & M St NW,14th & V St NW,Subscriber
1032565,2/05/2017 8:09,2/05/2017 8:21,738.885,Mount Vernon Ave & Kennedy St,18th & Eads St.,Subscriber
1677206,25/06/2017 11:16,25/06/2017 11:26,613.303,18th & R St NW,Wisconsin Ave & O St NW,Subscriber
668751,2/04/2017 11:38,2/04/2017 12:00,1330.596,Washington Blvd & 10th St N,17th St & Independence Ave SW,Subscriber
18289,5/01/2017 8:54,5/01/2017 8:59,286.867,Glebe Rd & 11th St N,Ballston Metro / N Stuart & 9th St N,Subscriber
174851,1/02/2017 3:25,1/02/2017 3:30,293.713,Thomas Circle,17th & Corcoran St NW,Subscriber
177818,1/02/2017 11:26,1/02/2017 11:55,1775.315,Ward Circle / American University,Ward Circle / American University,Customer
22492,5/01/2017 20:38,5/01/2017 20:42,215.732,14th & Irving St NW,Lamont & Mt Pleasant NW,Subscriber
1430037,6/06/2017 10:36,6/06/2017 10:37,86.906,Washington Blvd & 10th St N,Washington Blvd & 7th St N,Subscriber
287369,17/02/2017 7:32,17/02/2017 7:55,1367.95,Yuma St & Tenley Circle NW,19th St & Pennsylvania Ave NW,Subscriber
377985,25/02/2017 19:43,25/02/2017 19:51,481.171,10th & U St NW,20th St & Florida Ave NW,Subscriber
1627940,22/06/2017 4:46,22/06/2017 4:56,564.623,10th St & Constitution Ave NW,Columbus Circle / Union Station,Subscriber
171144,31/01/2017 16:23,31/01/2017 16:30,453.921,Independence Ave & L'Enfant Plaza SW/DOE,Columbus Circle / Union Station,Subscriber
1532019,14/06/2017 7:52,14/06/2017 8:00,445.113,16th & Irving St NW,14th St & Spring Rd NW,Subscriber
1306785,27/05/2017 12:55,27/05/2017 1:06,658.533,Columbus Circle / Union Station,Metro Center / 12th & G St NW,Customer
861474,17/04/2017 8:22,17/04/2017 8:36,840.063,18th & R St NW,10th & U St NW,Subscriber
1551,1/01/2017 13:47,1/01/2017 13:52,293.829,D St & Maryland Ave NE,3rd St & Pennsylvania Ave SE,Subscriber
1654690,24/06/2017 3:38,24/06/2017 4:13,2095.729,Constitution Ave & 2nd St NW/DOL,Iwo Jima Memorial/N Meade & 14th St N,Subscriber
749356,10/04/2017 1:06,10/04/2017 3:01,6889.502,21st & I St NW,Massachusetts Ave & Dupont Circle NW,Customer
674177,3/04/2017 5:35,3/04/2017 5:41,384.317,15th & W St NW,20th & O St NW / Dupont South,Subscriber
299469,18/02/2017 14:49,18/02/2017 15:13,1432.285,Jefferson Memorial,14th & D St NW / Ronald Reagan Building,Customer
1452104,8/06/2017 7:41,8/06/2017 8:02,1261.651,Jefferson Memorial,New York Ave & 15th St NW,Customer
743325,9/04/2017 7:26,9/04/2017 7:38,664.788,10th & Florida Ave NW,8th & H St NW,Subscriber
1338549,30/05/2017 9:07,30/05/2017 9:24,1056.059,Lamont & Mt Pleasant NW,24th & N St NW,Subscriber
1099695,9/05/2017 5:38,9/05/2017 5:42,198.613,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,Iwo Jima Memorial/N Meade & 14th St N,Subscriber
1305440,27/05/2017 11:36,27/05/2017 11:40,292.317,12th & U St NW,15th & P St NW,Subscriber
524107,19/03/2017 11:11,19/03/2017 11:20,565.144,1st & O St NW,11th & S St NW,Subscriber
559719,23/03/2017 10:04,23/03/2017 10:05,87.795,14th & Belmont St NW,14th & V St NW,Subscriber
1228596,20/05/2017 9:59,20/05/2017 10:18,1122.22,7th & T St NW,Georgia & New Hampshire Ave NW,Subscriber
849133,16/04/2017 9:01,16/04/2017 9:14,777.453,8th & O St NW,4th & C St SW,Subscriber
214082,6/02/2017 18:20,6/02/2017 18:31,689.98,10th & K St NW,1st & Rhode Island Ave NW,Subscriber
107052,21/01/2017 11:27,21/01/2017 11:31,267.874,11th & S St NW,14th & Rhode Island Ave NW,Subscriber
329104,21/02/2017 8:37,21/02/2017 8:46,519.288,Convention Center / 7th & M St NW,17th St & Massachusetts Ave NW,Subscriber
902091,21/04/2017 1:06,21/04/2017 1:11,328.396,North Capitol St & G Pl NE,M St & Delaware Ave NE,Subscriber
60853,13/01/2017 9:03,13/01/2017 9:13,549.997,Eastern Market Metro / Pennsylvania Ave & 7th St SE,2nd St & Massachusetts Ave NE,Subscriber
278876,15/02/2017 18:10,15/02/2017 18:29,1140.815,11th & F St NW,Florida Ave & R St NW,Subscriber
1734131,29/06/2017 8:50,29/06/2017 9:00,589.328,3rd St & Pennsylvania Ave SE,6th St & Indiana Ave NW,Subscriber
668655,2/04/2017 11:32,2/04/2017 11:35,194.521,Jefferson Dr & 14th St SW,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Customer
780712,12/04/2017 4:18,12/04/2017 6:26,7691.816,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,Customer
497606,13/03/2017 20:23,13/03/2017 20:28,312.477,Columbus Circle / Union Station,Maryland Ave & E St NE,Subscriber
46194,11/01/2017 14:55,11/01/2017 14:57,131.441,Pleasant St & MLK Ave SE,Anacostia Metro,Subscriber
589759,25/03/2017 20:14,25/03/2017 20:29,933.13,Bladensburg Rd & Benning Rd NE,2nd St & Massachusetts Ave NE,Customer
345678,22/02/2017 22:46,22/02/2017 23:11,1493.947,L'Enfant Plaza / 7th & C St SW,Adams Mill & Columbia Rd NW,Subscriber
1396792,4/06/2017 3:13,4/06/2017 3:21,459.269,4th & M St SW,1st & N St  SE,Customer
823114,14/04/2017 12:13,14/04/2017 12:23,603.119,C & O Canal & Wisconsin Ave NW,22nd & P ST NW,Subscriber
29293,7/01/2017 12:24,7/01/2017 12:30,332.583,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Maryland & Independence Ave SW,Customer
871275,18/04/2017 6:53,18/04/2017 7:25,1898.447,Massachusetts Ave & Dupont Circle NW,12th & U St NW,Customer
1741126,30/06/2017 5:00,30/06/2017 5:24,1461.78,10th & E St NW,16th & Irving St NW,Subscriber
1574201,17/06/2017 10:48,17/06/2017 10:51,177.82,8th & H St NW,5th St & Massachusetts Ave NW,Subscriber
873242,18/04/2017 7:54,18/04/2017 8:03,529,14th & R St NW,22nd & P ST NW,Customer
1418830,6/06/2017 3:13,6/06/2017 3:21,459.487,S Arlington Mill Dr & Campbell Ave,S George Mason Dr & Four Mile Run,Subscriber
664763,2/04/2017 6:58,2/04/2017 7:17,1158.722,Iwo Jima Memorial/N Meade & 14th St N,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Subscriber
182506,1/02/2017 20:55,1/02/2017 21:11,918.531,John McCormack Dr & Michigan Ave NE,Park Rd & Holmead Pl NW,Subscriber
1336909,30/05/2017 7:48,30/05/2017 7:50,121.486,Columbia Rd & Belmont St NW,California St & Florida Ave NW,Subscriber
1457642,8/06/2017 12:13,8/06/2017 5:43,19759.913,Anacostia Ave & Benning Rd NE / River Terrace ,Anacostia Ave & Benning Rd NE / River Terrace ,Customer
868898,18/04/2017 5:42,18/04/2017 6:04,1300.916,17th & K St NW,2nd & G St NE,Subscriber
48175,11/01/2017 18:04,11/01/2017 18:16,712.318,10th St & L'Enfant Plaza SW,15th & K St NW,Subscriber
648738,1/04/2017 3:08,1/04/2017 3:43,2080.64,Washington & Independence Ave SW/HHS,17th St & Independence Ave SW,Customer
1522913,13/06/2017 10:55,13/06/2017 11:01,357.943,Rhode Island & Connecticut Ave NW,20th St & Florida Ave NW,Subscriber
941437,25/04/2017 7:58,25/04/2017 8:24,1557.471,15th & W St NW,2nd & G St NE,Subscriber
1413830,5/06/2017 8:02,5/06/2017 8:07,296.989,15th & M St NW,New York Ave & 15th St NW,Subscriber
129343,25/01/2017 9:30,25/01/2017 9:42,701.507,New Hampshire Ave & T St NW,M St & Pennsylvania Ave NW,Subscriber
1621103,21/06/2017 8:30,21/06/2017 8:43,781.213,15th St & Massachusetts Ave SE,Washington & Independence Ave SW/HHS,Subscriber
193718,3/02/2017 13:01,3/02/2017 13:10,515.072,20th & O St NW / Dupont South,15th & K St NW,Subscriber
1420313,6/06/2017 4:56,6/06/2017 5:10,825.243,14th & G St NW,New Jersey Ave & R St NW,Subscriber
535387,20/03/2017 17:38,20/03/2017 17:48,603.973,20th St & Florida Ave NW,7th & T St NW,Subscriber
1342158,31/05/2017 4:08,31/05/2017 4:10,88.761,Columbus Ave & Gramercy Blvd,Shady Grove Metro East,Subscriber
182580,1/02/2017 21:12,1/02/2017 21:36,1430.321,17th & Corcoran St NW,3rd & H St NE,Subscriber
797879,13/04/2017 5:52,13/04/2017 5:59,413.847,17th & K St NW / Farragut Square,18th & M St NW,Subscriber
1479561,10/06/2017 7:10,10/06/2017 7:24,864.664,Henry Bacon Dr & Lincoln Memorial Circle NW,31st & Water St NW,Customer
330726,21/02/2017 12:45,21/02/2017 12:53,507.598,14th & Girard St NW,21st & M St NW,Subscriber
1410218,5/06/2017 5:51,5/06/2017 5:57,343.664,20th St & Virginia Ave NW,17th & K St NW / Farragut Square,Subscriber
366223,24/02/2017 17:09,24/02/2017 17:17,484.321,5th & K St NW,12th & L St NW,Subscriber
633069,30/03/2017 7:29,30/03/2017 7:35,334.563,Thomas Circle,11th & F St NW,Subscriber
439585,6/03/2017 15:52,6/03/2017 15:55,223.42,22nd & I St NW / Foggy Bottom,20th & O St NW / Dupont South,Subscriber
379928,26/02/2017 11:04,26/02/2017 11:17,790.527,Smithsonian-National Mall / Jefferson Dr & 12th St SW,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,Subscriber
398998,28/02/2017 16:15,28/02/2017 16:24,546.854,10th St & Constitution Ave NW,North Capitol St & G Pl NE,Subscriber
658006,2/04/2017 1:53,2/04/2017 2:09,946.841,Smithsonian-National Mall / Jefferson Dr & 12th St SW,19th St & Constitution Ave NW,Subscriber
